Row,avg_iac_files_per_commit,Ratio_out_of_cofiles_developers,file_nb_parameters,file_num_ExternalModules,Graph_History_std_degree_centrality,Graph_ContentSimilarity_network_density
371,5,0.03,0,1,0.45,0.84
372,151,0.03,0,1,0.45,0.84
373,33.83,0.05,0,2,0.45,0.84
374,44.57,0.07,0,2,0.41,0.84
375,6,0.02,0,1,0.45,0.84
376,151,0.03,0,3,0.45,0.84
377,151,0.03,0,1,0.45,0.84
378,30.6,0.05,0,2,0.45,0.84
379,37.5,0.04,0,2,0.45,0.84
380,51.8,0.05,0,2,0.41,0.84
381,71,0.05,0,2,0.45,0.84
382,64.4,0.05,0,2,0.45,0.84
383,4,1,4,0,0.45,0.84
384,21,0.5,4,0,0.45,0.84
385,71.33,0.5,2,2,0.4,0.84
386,64.5,0.5,0,3,0.4,0.84
387,57,0.07,0,2,0.45,0.84
388,151,0.03,0,3,0.45,0.84
389,151,0.03,0,3,0.45,0.84
390,10,0,0,2,0.45,0.84
391,59.5,0.02,0,2,0.41,0.84
392,71,0.04,0,2,0.45,0.84
393,151,0.03,0,3,0.45,0.84
394,85.5,0.03,0,3,0.45,0.84
395,24.38,0.05,0,2,0.45,0.84
396,151,0.03,0,3,0.45,0.84
397,42,0.09,0,2,0.45,0.84
398,4,0.5,0,1,0.45,0.84
399,4,1,3,0,0.45,0.84
400,15.33,0.5,3,0,0.45,0.84
401,54.5,0.5,1,2,0.4,0.84
402,52.4,0.5,0,3,0.4,0.84
403,151,0.03,0,1,0.45,0.84
404,5.5,0.02,0,2,0.45,0.84
405,40,0.04,0,2,0.41,0.84
406,30.75,0.04,0,2,0.41,0.84
407,53.14,0.05,0,2,0.45,0.84
408,33.83,0.04,0,2,0.45,0.84
409,5,0.02,0,4,0.45,0.84
410,1,0.5,0,2,0.45,0.84
411,151,0.03,0,3,0.45,0.84
412,151,0.03,0,3,0.45,0.84
413,151,0.03,0,1,0.45,0.84
414,33.83,0.05,0,2,0.45,0.84
415,44.57,0.07,0,2,0.41,0.84
416,30.12,0.04,0,2,0.45,0.84
417,151,0.03,0,3,0.45,0.84
418,85.5,0.03,0,3,0.45,0.84
419,33.5,0.03,0,2,0.45,0.84
420,33.8,0.04,0,2,0.44,0.84
421,4,1,4,0,0.45,0.84
422,21,0.5,4,0,0.45,0.84
423,71.33,0.5,2,2,0.4,0.84
424,64.5,0.5,0,3,0.4,0.84
425,3.5,0.03,3,0,0.45,0.84
426,15,0.05,3,0,0.45,0.84
427,54.25,0.05,1,2,0.4,0.84
428,52.2,0.05,0,3,0.4,0.84
429,151,0,0,2,0.45,0.84
430,76,0.03,0,2,0.45,0.84
431,22.57,0.04,0,2,0.45,0.84
432,151,0.03,3,0,0.45,0.84
433,161.5,0.05,1,2,0.4,0.84
434,122.33,0.05,0,3,0.4,0.84
435,33.4,0.05,0,2,0.45,0.84
436,33.67,0.07,0,2,0.44,0.84
437,3.5,0.03,4,0,0.45,0.84
438,15,0.05,4,0,0.45,0.84
439,54.25,0.05,2,2,0.4,0.84
440,52.2,0.05,0,3,0.4,0.84
441,37,0.04,0,2,0.45,0.84
442,47.29,0.05,0,2,0.41,0.84
443,151,0.03,3,0,0.45,0.84
444,161.5,0.05,1,2,0.4,0.84
445,122.33,0.05,0,3,0.4,0.84
446,151,0.03,0,3,0.45,0.84
447,3.33,1,4,0,0.45,0.84
448,12,0.5,4,0,0.45,0.84
449,44,0.5,2,2,0.4,0.84
450,44,0.5,0,3,0.4,0.84
451,151,0.03,0,1,0.45,0.84
452,18.33,0.02,0,2,0.45,0.84
453,22.5,0.04,0,2,0.44,0.84
454,151,0.03,0,3,0.45,0.84
455,1,0.02,0,2,0.45,0.84
456,14,0.05,0,2,0.44,0.84
457,2,0.02,0,2,0.45,0.84
458,55.5,0.04,0,2,0.41,0.84
459,60.2,0.05,0,2,0.45,0.84
460,151,0.03,0,4,0.45,0.84
461,19.25,0.05,0,2,0.45,0.84
462,19.33,0.07,0,2,0.45,0.84
463,1,0,0,2,0.45,0.84
464,151,0.03,0,3,0.45,0.84
465,27.67,0.04,0,2,0.45,0.84
466,151,0.03,0,3,0.45,0.84
467,26.89,0.04,0,2,0.45,0.84
468,151,0.03,0,4,0.45,0.84
469,151,0.03,0,3,0.45,0.84
470,85.5,0.03,0,3,0.45,0.84
471,151,0.03,0,3,0.45,0.84
472,151,0.03,0,3,0.45,0.84
473,151,0.03,0,1,0.45,0.84
474,5,0.02,0,2,0.45,0.84
475,57,0.04,0,2,0.41,0.84
476,151,0.03,0,1,0.45,0.84
477,71,0.04,0,2,0.45,0.84
478,56,0.05,0,2,0.45,0.84
479,51,0.04,0,2,0.45,0.84
480,37.2,0.04,0,2,0.45,0.84
481,49.17,0.05,0,2,0.41,0.84
482,5.5,0.02,0,2,0.45,0.84
483,40,0.04,0,2,0.41,0.84
484,38.5,0.04,0,2,0.45,0.84
485,38.8,0.05,0,2,0.44,0.84
486,151,0.03,0,3,0.45,0.84
487,71,0.05,0,2,0.45,0.84
488,5,0.2,4,0,0.45,0.84
489,21.5,0.29,4,0,0.45,0.84
490,71.67,0.29,2,2,0.4,0.84
491,64.75,0.29,0,4,0.4,0.84
492,151,0.03,0,3,0.45,0.84
493,33.4,0.05,0,2,0.45,0.84
494,33.67,0.07,0,2,0.44,0.84
495,14,0.02,0,7,0.45,0.84
496,151,0.03,0,3,0.45,0.84
497,4,0.5,0,1,0.45,0.84
498,19,0.07,0,2,0.45,0.84
499,30.8,0.07,0,2,0.44,0.84
500,151,0.03,0,3,0.45,0.84
501,4,0.5,0,1,0.45,0.84
502,3.33,1,3,0,0.45,0.84
503,12,0.5,3,0,0.45,0.84
504,44,0.5,1,2,0.4,0.84
505,44,0.5,0,3,0.4,0.84
506,11.4,0.02,0,7,0.45,0.84
507,24.43,0.07,0,2,0.45,0.84
508,23.88,0.1,0,2,0.45,0.84
509,151,0.03,4,0,0.45,0.84
510,161.5,0.05,2,2,0.4,0.84
511,122.33,0.05,0,3,0.4,0.84
512,43.29,0.09,0,2,0.45,0.84
513,13.75,0.02,0,2,0.45,0.84
514,19.25,0.07,0,2,0.45,0.84
515,151,0.03,0,3,0.45,0.84
516,44.33,0.03,0,2,0.45,0.84
517,43.25,0.05,0,2,0.44,0.84
518,151,0.03,0,1,0.45,0.84
519,151,0.03,0,3,0.45,0.84
520,47.25,0.06,0,2,0.45,0.84
521,151,0.03,0,3,0.45,0.84
522,151,0.03,0,3,0.45,0.84
523,53.14,0.05,0,2,0.45,0.84
524,37,0.04,0,2,0.45,0.84
525,37.5,0.05,0,2,0.44,0.84
526,151,0.03,0,3,0.45,0.84
527,151,0.03,0,4,0.45,0.84
528,85.5,0.03,0,4,0.45,0.84
529,35.25,0.05,0,2,0.45,0.84
530,151,0.03,0,3,0.45,0.84
531,85.5,0.03,0,3,0.45,0.84
532,50.33,0.07,0,2,0.45,0.84
533,33.67,0.04,0,2,0.45,0.84
534,44.43,0.05,0,2,0.41,0.84
535,35.25,0.05,0,2,0.45,0.84
536,23.83,0.05,0,2,0.45,0.84
537,5,0.2,6,0,0.45,0.84
538,21.5,0.29,6,0,0.45,0.84
539,71.67,0.29,4,2,0.4,0.84
540,64.75,0.29,0,4,0.4,0.84
541,41.56,0.07,0,2,0.45,0.84
542,151,0.03,0,3,0.45,0.84
543,151,0.03,0,3,0.45,0.84
544,5,0.02,0,2,0.45,0.84
545,38.33,0.04,0,2,0.41,0.84
546,151,0.03,0,4,0.45,0.84
547,85.5,0.03,0,4,0.45,0.84
548,151,0.03,0,1,0.45,0.84
549,151,0.03,0,3,0.45,0.84
550,43.25,0.04,0,2,0.45,0.84
551,56.4,0.05,0,2,0.41,0.84
552,37,0.04,0,2,0.45,0.84
553,151,0.03,0,3,0.45,0.84
554,32.71,0.04,0,2,0.45,0.84
555,151,0.03,0,5,0.45,0.84
556,85.5,0.03,0,5,0.45,0.84
