Row,iac_file_churn,files_num_normalized_resources,iac_file_dependency,nb_files,nb_noniac_files,avg_files_per_commit,nb_content_sim_files,nb_path_sim_files,Ratio_out_of_cofiles_developers,file_nb_parameters,file_nb_variables,file_nb_resources,Graph_History_network_density,Graph_History_betweenness_centrality,Graph_History_closeness_centrality,Graph_ContentSimilarity_std_degree_centrality,Graph_ContentSimilarity_network_density,Graph_ContentSimilarity_closeness_centrality,Graph_PathSimilarity_network_density,Graph_PathSimilarity_Degree_centrality
95,10,0.2,1,90,12,23.2,2,26,0.07,0,0,1,0.65,0,0.76,0.27,0.93,0.92,1.01,2.01
96,6,0.13,3,94,13,13.83,2,26,0.08,1,0,3,0.65,0.01,0.77,0.27,0.93,0.95,1.01,2.01
97,12,0.12,3,94,13,13.82,2,26,0.06,0,0,2,0.65,0.01,0.77,0.27,0.93,0.95,1.01,2.01
98,2,0.12,3,104,19,13.86,5,36,0.06,0,0,2,0.57,0.14,0.81,0.27,0.93,0.95,0.89,2.01
99,5,0.1,3,112,23,13.87,5,44,0.05,0,0,2,0.5,0.24,0.82,0.27,0.93,0.95,0.81,2.01
100,8,0.09,3,112,23,13.86,5,44,0.05,1,0,2,0.5,0.24,0.82,0.27,0.93,0.95,0.81,2.01
101,16,0,0,92,12,26.16,1,7,0.02,0,0,0,0.65,0,0.76,0.27,0.93,0.92,1.01,2.01
102,8,0.06,0,89,12,50.5,2,25,0,0,0,1,0.65,0,0.75,0.27,0.93,0.95,1.01,2.01
103,12,0.13,3,95,14,14.8,2,26,0.04,0,0,2,0.65,0.01,0.78,0.27,0.93,0.95,1.01,2.01
104,2,0.13,3,105,20,14.84,5,36,0.03,0,0,2,0.57,0.14,0.81,0.27,0.93,0.95,0.89,2.01
105,8,0.12,3,113,24,14.85,6,44,0.03,1,0,2,0.5,0.24,0.82,0.27,0.93,0.95,0.81,2.01
106,240,0.03,1,89,12,50.5,4,51,0,22,21,6,0.65,0,0.75,0.27,0.93,0.99,1.01,2.01
107,9,0.03,1,89,12,50.05,4,51,0.11,22,21,6,0.65,0.01,0.75,0.27,0.93,0.99,1.01,2.01
108,58,0.03,1,89,12,49.62,4,51,0.08,22,23,6,0.65,0.01,0.75,0.27,0.93,0.99,1.01,2.01
109,46,0.03,1,89,12,49.35,4,51,0.03,22,23,6,0.64,0.03,0.76,0.27,0.93,0.99,1.01,2.01
110,2,0.03,1,89,12,49.3,4,51,0.05,22,23,6,0.64,0.03,0.76,0.27,0.93,0.99,1.01,2.01
111,168,0.03,1,99,22,49.07,4,55,0.04,22,10,5,0.53,0.2,0.79,0.27,0.93,0.99,0.89,2.01
112,19,0,0,89,12,50.5,1,7,0,0,0,0,0.65,0,0.75,0.27,0.93,0.94,1.01,2.01
113,40,0.04,4,118,38,20.27,5,50,0.12,19,1,5,0.65,0,0.9,0.27,0.93,0.99,1.01,2.01
114,57,0.04,4,118,38,20.28,18,50,0.13,20,2,6,0.65,0,0.9,0.27,0.93,0.99,1.01,2.01
115,18,0.08,4,118,38,21.41,10,50,0.12,9,1,5,0.65,0,0.9,0.27,0.93,0.98,1.01,2.01
116,37,0.07,4,118,38,21.42,24,50,0.13,10,2,6,0.65,0,0.9,0.27,0.93,0.98,1.01,2.01
117,18,0.02,9,127,47,9.85,2,51,0.31,28,26,8,0.65,0.04,0.96,0.27,0.93,1,1.01,2.01
118,3,0.02,9,127,47,9.85,3,51,0.33,28,26,8,0.65,0.04,0.96,0.27,0.93,1,1.01,2.01
119,4,0.02,10,127,47,9.85,6,51,0.31,28,26,8,0.65,0.04,0.96,0.27,0.93,1,1.01,2.01
120,12,0.02,9,128,47,9.85,6,52,0.33,28,26,8,0.65,0.05,0.96,0.27,0.93,1,0.99,2.01
121,22,0.02,10,128,47,9.84,6,52,0.3,28,28,8,0.65,0.05,0.96,0.27,0.93,1,0.99,2.01
122,22,0.02,10,133,52,9.84,6,57,0.32,29,30,8,0.6,0.12,0.96,0.27,0.93,1,0.94,2.01
123,54,0.02,10,133,52,9.84,7,57,0.32,29,30,8,0.59,0.13,0.96,0.27,0.93,1,0.94,2.01
124,2,0.02,10,133,52,9.85,7,57,0.32,29,30,8,0.59,0.13,0.96,0.27,0.93,1,0.94,2.01
125,2,0.02,10,142,61,9.85,7,60,0.32,29,30,8,0.5,0.26,0.96,0.27,0.93,1,0.84,2.01
126,21,0.02,10,143,62,9.85,7,60,0.31,29,27,8,0.49,0.28,0.96,0.27,0.93,1,0.83,2.01
127,6,0.25,1,93,12,25.7,3,26,0.04,0,0,1,0.65,0.01,0.77,0.27,0.93,0.94,1.01,2.01
128,2,0.25,1,103,18,25.74,8,36,0.03,0,0,1,0.57,0.14,0.81,0.27,0.93,0.94,0.89,2.01
129,8,0.1,0,111,22,25.72,8,44,0.03,0,0,1,0.5,0.24,0.82,0.27,0.93,0.94,0.81,2.01
130,6,0.08,0,111,22,25.71,10,44,0.02,0,0,1,0.5,0.25,0.82,0.27,0.93,0.94,0.81,2.01
131,6,0.08,2,120,40,23.01,2,50,0.1,3,3,4,0.65,0.01,0.91,0.27,0.93,0.96,1.01,2.01
132,2,0.38,1,89,12,21,3,25,0.03,0,0,3,0.65,0,0.75,0.27,0.93,0.95,1.01,2.01
133,5,0.25,1,89,12,50.5,3,26,0,0,0,1,0.65,0,0.75,0.27,0.93,0.92,1.01,2.01
134,3,0.2,1,89,12,50.21,4,26,0.02,0,0,1,0.65,0.02,0.76,0.27,0.93,0.92,1.01,2.01
135,10,0.04,1,118,38,28.68,1,50,0.1,4,1,2,0.65,0,0.9,0.27,0.93,0.97,1.01,2.01
136,4,0.07,1,120,40,21.86,2,51,0.13,3,3,3,0.65,0.01,0.91,0.27,0.93,0.96,1.01,2.01
137,6,0.07,1,120,40,21.85,2,51,0.12,3,3,3,0.65,0.01,0.91,0.27,0.93,0.96,1.01,2.01
138,14,0.03,0,125,45,22.04,2,50,0.1,7,5,2,0.65,0.01,0.94,0.27,0.93,0.97,1.01,2.01
139,17,0.04,0,125,45,22.05,9,50,0.11,8,6,3,0.65,0.01,0.94,0.27,0.93,0.97,1.01,2.01
140,19,0.03,0,89,12,50.5,3,25,0,0,2,1,0.65,0,0.75,0.27,0.93,0.95,1.01,2.01
141,5,0.03,0,89,12,50.21,5,25,0,0,2,1,0.65,0.02,0.76,0.27,0.93,0.95,1.01,2.01
142,3,0.04,2,89,12,18.14,1,26,0.5,0,6,1,0.65,0,0.75,0.27,0.93,0.95,1.01,2.01
143,3,0.04,2,99,18,18.21,2,36,0.04,0,6,1,0.57,0.14,0.79,0.27,0.93,0.95,0.89,2.01
