Row,nb_noniac_files,nb_path_sim_files,Graph_History_betweenness_centrality,Graph_History_closeness_centrality,Graph_ContentSimilarity_closeness_centrality,Graph_PathSimilarity_Degree_centrality
162,0.810192052,-0.498901255,-0.889847408,1.510473775,0.434418745,0.33700345
163,0.867027144,-0.498901255,-0.583805968,1.579736611,-0.297981111,0.33700345
164,1.000880988,-0.498901255,-0.583805968,1.790632457,0.434418745,0.33700345
165,1.000880988,-0.498901255,-0.583805968,1.790632457,0.434418745,0.33700345
166,0.810192052,-0.498901255,-0.889847408,1.510473775,0.040132007,0.33700345
167,0.810192052,-0.498901255,-0.889847408,1.510473775,0.040132007,0.33700345
168,0.810192052,-0.498901255,-0.889847408,1.510473775,0.040132007,0.33700345
169,0.867027144,-0.498901255,-0.583805968,1.579736611,-0.297981111,0.33700345
170,-0.256048362,-0.476094876,-0.889847408,0.532802776,0.434418745,0.33700345
171,-0.256048362,-0.476094876,-0.889847408,0.532802776,0.434418745,0.33700345
172,-0.194037083,-0.348336838,0.768853768,0.594447547,0.434418745,0.33700345
173,0.123218321,-0.163690709,1.613089134,0.846034926,0.434418745,0.33700345
174,0.123218321,-0.163690709,1.613089134,0.846034926,0.434418745,0.33700345
175,0.123218321,-0.163690709,1.64121409,0.910189777,0.434418745,0.33700345
176,0.123218321,-0.163690709,1.64121409,0.910189777,0.434418745,0.33700345
177,-0.194037083,-1.407770534,-0.889847408,0.594447547,0.434418745,0.33700345
178,0.123218321,-0.981680154,1.305626508,0.846034926,0.434418745,0.33700345
179,0.298128844,-0.72846553,1.689486735,0.910189777,0.434418745,0.33700345
180,0.593057688,-0.27071475,1.865340824,1.04001734,0.434418745,0.33700345
181,-0.256048362,-3.279246415,-0.889847408,0.532802776,-1.046886885,0.33700345
182,-0.07898076,-3.279246415,0.637658565,0.594447547,-1.046886885,0.33700345
183,0.338537926,-0.498901255,-0.889847408,0.974850191,0.893651281,0.33700345
184,0.338537926,-0.498901255,-0.889847408,0.974850191,0.893651281,0.33700345
185,0.751223208,0.051537494,1.83540846,1.171876521,0.893651281,0.33700345
186,0.751223208,0.051537494,1.83540846,1.171876521,0.893651281,0.33700345
187,0.894700398,0.119133749,1.854977789,1.373494932,0.893651281,0.33700345
188,0.894700398,-0.498901255,-0.583805968,1.649516579,0.434418745,0.33700345
189,1.026382889,-0.389301382,0.768853768,1.790632457,0.434418745,0.33700345
190,1.026382889,-0.389301382,0.768853768,1.790632457,0.434418745,0.33700345
191,0.810192052,-0.476094876,-0.889847408,1.510473775,0.893651281,0.33700345
192,0.810192052,-0.476094876,-0.889847408,1.510473775,0.893651281,0.33700345
193,0.810192052,-0.476094876,-0.889847408,1.510473775,0.893651281,0.33700345
194,0.810192052,-0.476094876,-0.889847408,1.510473775,0.040132007,0.33700345
195,0.810192052,-0.476094876,-0.889847408,1.510473775,0.040132007,0.33700345
196,0.867027144,-0.498901255,-0.583805968,1.579736611,0.434418745,0.33700345
197,0.867027144,-0.498901255,-0.583805968,1.579736611,0.434418745,0.33700345
198,0.867027144,-0.498901255,-0.074755159,1.579736611,0.434418745,0.33700345
199,0.867027144,-0.498901255,-0.074755159,1.579736611,0.434418745,0.33700345
200,0.867027144,-0.498901255,-0.074755159,1.579736611,0.434418745,0.33700345
201,1.124656268,-0.410368756,1.581882835,1.790632457,0.434418745,0.33700345
202,0.810192052,-0.498901255,-0.889847408,1.510473775,0.040132007,0.33700345
203,0.810192052,-0.498901255,-0.889847408,1.510473775,0.040132007,0.33700345
204,0.810192052,-0.498901255,-0.889847408,1.510473775,0.040132007,0.33700345
205,0.810192052,-0.498901255,-0.889847408,1.510473775,0.040132007,0.33700345
206,0.838864764,-0.368628827,0.885623883,1.510473775,0.040132007,0.33700345
