source,instances,feature_iac_file_loc,feature_iac_file_churn,feature_files_num_normalized_resources,feature_iac_file_dependency,feature_nb_files,feature_nb_iac_files,feature_nb_noniac_files,feature_avg_files_per_commit,feature_avg_iac_files_per_commit,feature_avg_noniac_files_per_commit,feature_nb_content_sim_files,feature_nb_path_sim_files,feature_Ratio_out_of_cofiles_developers,feature_Ratio_out_of_all_developers,feature_file_nb_parameters,feature_file_nb_variables,feature_file_nb_resources,feature_file_fanin,feature_Graph_History_std_degree_centrality,feature_Graph_History_network_density,feature_Graph_History_Degree_centrality,feature_Graph_History_betweenness_centrality,feature_Graph_History_closeness_centrality,feature_Graph_ContentSimilarity_std_degree_centrality,feature_Graph_ContentSimilarity_network_density,feature_Graph_ContentSimilarity_Degree_centrality,feature_Graph_ContentSimilarity_betweenness_centrality,feature_Graph_ContentSimilarity_closeness_centrality,feature_Graph_PathSimilarity_std_degree_centrality,feature_Graph_PathSimilarity_network_density,feature_Graph_PathSimilarity_Degree_centrality,feature_Graph_PathSimilarity_betweenness_centrality,feature_Graph_PathSimilarity_closeness_centrality
puppet-tp,65,9,2,0,0,3,2,1,3.98,3,1,4,12,0.25,0.33,1,1,0,0,0.5,0.37,0.17,0,0.44,0.38,0.81,1.7,0,0.86,0,1.01,2.01,0,1
puppet-tp,66,188,17,0.04,8,20,7,13,37.04,6.5,38,3,21,0.14,0.67,34,17,7,0,0.5,0.37,1.11,0,0.66,0.38,0.81,1.99,0,0.99,0,1.01,2.01,0,1
puppet-tp,67,181,11,0.04,8,22,7,15,37.04,6.15,35.31,4,23,0.14,0.67,34,17,7,0,0.49,0.33,1.16,0.1,0.67,0.38,0.81,1.99,0,0.99,0.23,0.98,2.01,0.03,1
puppet-tp,68,181,2,0.04,8,27,7,20,37.04,6.79,34.86,5,28,0.14,1,34,17,7,0,0.34,0.14,1.74,0.75,0.89,0.38,0.81,1.99,0,0.99,0.4,0.92,2.01,0.09,1
puppet-tp,69,15,4,0.13,0,2,0,2,1.66,1,0.67,1,13,0.33,0.67,1,0,2,0,0.5,0.37,0.11,0,0.4,0.38,0.81,1.77,0,0.89,0,1.01,2.01,0,1
puppet-tp,70,12,2,0,0,2,2,0,2.99,3,0,3,12,1,0.33,0,1,0,0,0.5,0.37,0.11,0,0.06,0.38,0.81,1.72,0,0.87,0,1.01,2.01,0,1
puppet-tp,71,144,38,0.03,6,23,8,15,37.2,6.08,38.58,1,21,0.14,0.67,20,10,4,0,0.5,0.37,1.28,0.1,0.7,0.38,0.81,1.96,0,0.97,0,1.01,2.01,0,1
puppet-tp,72,144,2,0.03,6,28,8,20,37.2,6.77,37.85,1,26,0.14,1,20,10,4,0,0.36,0.15,1.8,0.76,0.91,0.38,0.81,1.96,0,0.97,0.34,0.94,2.01,0.06,1
puppet-icinga2,73,42,8,0.14,1,106,80,26,8.03,8.84,1.6,1,50,0.2,0.64,0,8,5,0,0.47,0.65,1.59,0.01,0.83,0.27,0.93,1.95,0,0.97,0,1.01,2.01,0,1
puppet-icinga2,74,43,3,0.14,1,116,84,32,8.03,9.17,1.85,1,60,0.19,1,0,9,5,0,0.52,0.57,1.66,0.14,0.86,0.27,0.93,1.95,0,0.97,0.44,0.89,2.01,0.11,1
puppet-icinga2,75,43,2,0.14,1,116,84,32,8.03,9.13,1.87,1,60,0.18,1.29,0,9,5,0,0.52,0.57,1.66,0.14,0.86,0.27,0.93,1.95,0,0.97,0.44,0.89,2.01,0.11,1
puppet-icinga2,76,222,11,0.03,2,121,80,41,13.94,14.24,5.29,4,51,0.07,0.2,17,23,6,0,0.47,0.65,1.82,0.01,0.92,0.27,0.93,1.96,0,0.98,0,1.01,2.01,0,1
puppet-icinga2,77,224,2,0.03,2,121,80,41,13.94,13.94,5,7,51,0.07,0.21,17,23,6,0,0.47,0.65,1.82,0.01,0.92,0.27,0.93,1.96,0,0.98,0,1.01,2.01,0,1
puppet-icinga2,78,222,2,0.03,2,127,85,42,13.94,13.84,4.84,7,57,0.09,0.29,17,23,6,0,0.51,0.6,1.83,0.09,0.92,0.27,0.93,1.96,0,0.98,0.36,0.94,2.01,0.07,1
puppet-icinga2,79,222,2,0.03,2,137,89,48,13.95,14.35,5.25,7,67,0.09,0.31,17,23,6,0,0.54,0.52,1.85,0.21,0.93,0.27,0.93,1.96,0,0.98,0.52,0.83,2.01,0.17,1
puppet-icinga2,80,222,12,0.03,2,137,89,48,13.95,13.95,5.05,7,67,0.09,0.31,17,23,6,0,0.54,0.52,1.85,0.21,0.93,0.27,0.93,1.96,0,0.98,0.52,0.83,2.01,0.17,1
puppet-icinga2,81,222,8,0.03,2,137,89,48,13.94,13.5,4.82,7,67,0.08,0.57,17,23,6,0,0.54,0.52,1.85,0.21,0.93,0.27,0.93,1.96,0,0.98,0.52,0.83,2.01,0.17,1
puppet-icinga2,82,228,9,0.03,2,141,89,52,13.94,12.96,5.12,7,71,0.1,0.71,18,23,6,0,0.54,0.5,1.88,0.25,0.94,0.27,0.93,1.96,0,0.98,0.56,0.8,2.01,0.21,1
puppet-icinga2,83,229,47,0.03,2,141,89,52,13.94,12.68,4.92,9,71,0.1,0.71,18,24,6,0,0.54,0.5,1.88,0.25,0.94,0.27,0.93,1.96,0,0.98,0.56,0.8,2.01,0.21,1
puppet-icinga2,84,229,36,0.03,2,141,89,52,13.94,12.92,4.81,9,71,0.09,1,18,24,6,0,0.54,0.49,1.9,0.26,0.95,0.27,0.93,1.96,0,0.98,0.56,0.8,2.01,0.21,1
puppet-icinga2,85,229,2,0.03,2,141,89,52,13.96,14.07,4.63,14,71,0.11,1.5,18,24,6,0,0.54,0.49,1.9,0.26,0.95,0.27,0.93,1.96,0,0.98,0.56,0.8,2.01,0.21,1
puppet-icinga2,86,178,139,0.03,2,150,89,61,13.97,13.79,5.14,14,74,0.11,1.5,18,13,5,0,0.54,0.42,1.93,0.37,0.97,0.27,0.93,1.96,0,0.98,0.61,0.72,2.01,0.28,1
puppet-icinga2,87,47,2,0.15,3,120,80,40,24.47,26.76,8.29,1,50,0.15,1,2,5,6,0,0.47,0.65,1.8,0.01,0.91,0.27,0.93,1.95,0,0.97,0,1.01,2.01,0,1
puppet-icinga2,88,8,7,0.29,0,12,11,1,7.14,7,0.75,2,25,0.12,0.21,0,0,2,0,0.47,0.65,0.18,0,0.5,0.27,0.93,1.86,0,0.93,0,1.01,2.01,0,1
puppet-icinga2,89,63,8,0.07,2,125,80,45,23.5,25.36,7.11,2,50,0.1,1,4,3,4,0,0.47,0.65,1.88,0.01,0.94,0.27,0.93,1.94,0,0.96,0,1.01,2.01,0,1
puppet-icinga2,90,56,5,0.06,2,120,80,40,20.32,22.62,5.07,2,50,0.1,1,2,3,3,0,0.47,0.65,1.8,0.01,0.91,0.27,0.93,1.95,0,0.97,0,1.01,2.01,0,1
puppet-icinga2,91,33,11,0.07,0,103,80,23,17,20.76,2.59,1,51,0.11,0.56,0,7,2,0,0.47,0.65,1.55,0,0.82,0.27,0.93,1.95,0,0.97,0,1.01,2.01,0,1
puppet-icinga2,92,42,23,0.05,0,103,80,23,16.99,19.78,2.5,1,51,0.11,0.62,0,7,2,0,0.47,0.65,1.55,0,0.82,0.27,0.93,1.95,0,0.97,0,1.01,2.01,0,1
puppet-icinga2,93,42,8,0.05,0,103,80,23,16.98,18.84,2.37,1,51,0.11,0.62,0,7,2,0,0.47,0.65,1.55,0,0.82,0.27,0.93,1.95,0,0.97,0,1.01,2.01,0,1
puppet-icinga2,94,42,2,0.05,0,103,80,23,16.97,18.05,2.3,1,51,0.11,0.71,0,7,2,0,0.47,0.65,1.55,0,0.82,0.27,0.93,1.95,0,0.97,0,1.01,2.01,0,1
puppet-icinga2,95,6,10,0.2,1,90,78,12,23.2,32,8.67,2,26,0.07,0.14,0,0,1,0,0.47,0.65,1.35,0,0.76,0.27,0.93,1.85,0,0.92,0,1.01,2.01,0,1
puppet-icinga2,96,29,6,0.13,3,94,81,13,13.83,18.17,4.5,2,26,0.08,0.13,1,0,3,0,0.47,0.65,1.41,0.01,0.77,0.27,0.93,1.91,0,0.95,0,1.01,2.01,0,1
puppet-icinga2,97,21,12,0.12,3,94,81,13,13.82,16.86,3.86,2,26,0.06,0.14,0,0,2,0,0.47,0.65,1.41,0.01,0.77,0.27,0.93,1.91,0,0.95,0,1.01,2.01,0,1
puppet-icinga2,98,21,2,0.12,3,104,85,19,13.86,17.75,5,5,36,0.06,0.18,0,0,2,0,0.52,0.57,1.52,0.14,0.81,0.27,0.93,1.91,0,0.95,0.44,0.89,2.01,0.11,1
puppet-icinga2,99,24,5,0.1,3,112,89,23,13.87,17.56,5,5,44,0.05,0.29,0,0,2,0,0.54,0.5,1.55,0.24,0.82,0.27,0.93,1.91,0,0.95,0.54,0.81,2.01,0.19,1
